"Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","Encoded_Education","Encoded_Marital_Status","Encoded_Dt_Customer","Response"
"1958","2n Cycle","Single",38741,"1","1","60",7,10,17,8,6,13,"2","2","0","3","7",1,4,16159,"0"
"1978","Graduation","Together",41580,"1","1","15",56,5,24,4,0,3,"3","2","1","3","5",3,5,15625,"0"
"1979","Graduation","Married",56775,"0","1","62",614,35,160,58,35,35,"2","5","8","10","5",3,3,15737,"0"
"1952","Graduation","Single",54490.8009708908,"0","1","9",256.357627691934,12.6486273580231,84.6910923174582,9.59200741210952,6.56369743915275,20.5070774932392,"1","5","7","11","3",3.7464612533804,4.7464612533804,15758.647376348,"1"
"1978","PhD","Married",37717,"1","0","31",9,0,6,4,1,5,"1","1","0","2","9",5,3,15667,"0"
"1963","Basic","Together",14918,"0","1","52",3,3,3,15,4,15,"1","1","0","3","6",2,5,15533,"0"
"1963","Graduation","Together",77226,"0","1","29",631,43,239,128,76,21,"2","6","8","12","3",3,5,16129,"0"
"1973","2n Cycle","YOLO",17704.1859767714,"0","1","71",35.7132048429921,3.90597087075002,12.855194299249,5.81194174150005,32.8970387347508,35.6582039047498,"4","2","1","3","7",1.3761165169999,5.18805825849995,15597.4790777822,"1"
"1986","2n Cycle","Married",7500,"1","0","96",1,11,5,4,6,9,"2","2","0","3","8",1,3,15888,"0"
"1976","2n Cycle","Married",23718,"1","0","76",6,3,14,15,7,36,"3","3","1","2","7",1,3,15745,"0"
"1983","Graduation","Together",22010,"1","0","51",11,2,9,3,0,8,"2","2","0","3","8",3,5,15886,"0"
"1955","Graduation","Single",57959,"0","1","71",430,16,322,43,24,33,"5","4","7","11","3",3,4,15741,"0"
"1985","Graduation","Single",29760,"1","0","87",64,4,68,7,5,17,"4","3","1","4","8",3,4,15581,"0"
"1969","PhD","Married",33581,"2","0","38",11,0,5,0,0,1,"1","1","0","2","8",5,3,15918,"0"
"1969","Basic","Together",22390,"0","0","49",0,1,4,15,1,5,"1","1","0","2","7",2,5,15999,"0"
"1989","Graduation","Married",38360,"1","0","26",36,2,42,20,21,10,"2","2","1","4","3",3,3,15856,"0"
"1984","Graduation","Single",34738,"1","0","51",3,2,10,3,0,2,"1","1","0","3","6",3,4,16379,"0"
"1952","Graduation","Married",50300,"0","1","52",143,15,60,24,23,5,"2","2","1","8","2",3,3,16215,"0"
"1982","Graduation","Married",28718,"1","0","78",12,4,6,11,8,16,"2","2","0","3","8",3,3,15899,"0"
"1972","PhD","Together",56703.930028066,"2","1","4",448.096998821013,0.0976791651919484,25.4000680344179,6.1302388869226,0.260477773845196,4.65119443461299,"1","9","2","5","6",4.9348805565387,3.0651194434613,15682.7914650394,"1"
"1950","Graduation","Together",27203,"1","1","92",13,2,21,4,0,24,"2","1","1","2","8",3,5,15499,"0"
"1958","PhD","Widow",80995,"0","1","83",860,28,409,73,56,56,"1","8","9","4","4",5,6,16014,"0"
"1988","Master","Married",78285,"0","0","13",647,107,391,175,67,40,"1","6","4","10","3",4,3,16006,"0"
"1959","Graduation","Single",62450,"0","1","61",515,47,267,62,66,38,"2","5","5","4","3",3,4,16222,"0"
"1949","Master","Divorced",35416,"0","0","62",248,3,81,4,3,51,"3","7","1","5","8",4,2,15869,"0"
"1973","Graduation","Married",51148,"1","1","38",235,6,45,8,9,12,"4","5","1","6","6",3,3,15754,"0"
"1969","PhD","Widow",62187,"0","1","38",512,0,83,0,0,41,"3","6","2","10","4",5,6,16151,"0"
"1970","Graduation","Divorced",58710,"0","1","77",440,81,368,0,122,174,"6","11","5","9","6",3,2,15795,"0"
"1951","Master","Single",49389,"1","1","55",40,0,19,2,1,3,"1","2","0","3","7",4,4,15946,"0"
"1988","Graduation","Single",34176,"1","0","12",5,7,24,19,14,20,"4","3","0","4","6",3,4,16409,"0"
"1976","PhD","Single",42473,"1","1","72",93,1,21,0,4,25,"3","2","1","4","5",5,4,16118,"0"
"1977","Graduation","Single",28769,"1","0","76",41,5,129,10,3,3,"3","4","1","4","9",3,4,15692,"0"
"1977","Graduation","Together",32341.6707481202,"0","0","14",26.6749541722238,10.3907638583332,28.774421652779,4.39076385833323,14.0728240944445,24.6358795277774,"4","3","1","4","6",2.07282409444451,4.46358795277774,15856.6483107861,"1"
"1959","Master","Married",34242,"0","1","25",8,2,4,0,0,1,"1","0","0","3","5",4,3,16152,"0"
"1968","Master","Divorced",23748,"1","0","97",6,6,29,12,15,8,"3","2","1","3","8",4,2,15665,"0"
"1979","Graduation","Together",90300,"0","0","7",594,134,786,33,134,57,"0","5","6","8","1",3,5,16130,"0"
"1951","Master","Divorced",57530,"0","1","68",50,1,27,6,7,1,"1","1","1","4","1",4,2,16049,"0"
"1974","Graduation","Married",45837,"1","1","88",215,13,87,17,17,24,"5","6","2","5","7",3,3,15912,"0"
"1976","Master","Married",34529,"1","0","94",68,6,38,3,6,41,"2","2","2","3","7",4,3,15597,"0"
"1977","Master","Married",22701,"1","0","2",2,4,9,0,4,5,"1","1","0","3","5",4,3,15834,"0"
"1948","PhD","Married",61467,"0","2","69",410,16,114,0,5,49,"3","5","2","10","5",5,3,15595,"0"
"1979","PhD","Widow",26482.1452152727,"1","0","60",204.162557465723,5.72512446693145,14.3040567901917,8.58476857468486,2.14035589224659,9.27487553306855,"2","1","1","2","7",3.57309607183561,3.14619214367121,15634.4619214367,"1"
"1964","Graduation","Together",55761,"0","1","97",136,1,12,0,3,32,"2","4","1","3","6",3,5,16184,"0"
"1977","Master","Single",36273,"1","0","80",29,3,30,3,2,9,"2","3","0","3","6",4,4,16176,"0"
"1968","Graduation","Together",77382,"0","1","36",491,48,231,112,105,134,"2","5","7","12","1",3,5,16252,"0"
"1969","Master","Married",43641,"1","1","50",57,2,51,4,2,23,"3","2","1","4","6",4,3,15817,"0"
"1979","Graduation","Married",58025,"0","1","81",270,31,88,11,48,22,"3","3","2","10","4",3,3,16035,"0"
"1969","Master","Married",79734,"0","0","72",572,8,232,23,62,17,"1","4","3","6","1",4,3,16249,"0"
"1979","Graduation","Married",72063,"0","1","3",180,32,348,76,32,90,"2","5","2","12","2",3,3,15771,"0"
"1974","Graduation","Single",43322,"0","0","25",56,7,48,10,2,18,"1","3","0","4","7",3,4,16181,"0"
"1982","Graduation","Together",71853,"0","0","29",358,108,413,141,97,32,"1","2","8","6","1",3,5,15922,"0"
"1970","PhD","Together",82072,"0","0","67",889,55,685,168,92,129,"1","3","2","13","1",5,5,15743,"0"
"1984","Master","Married",30477,"1","0","16",47,1,6,0,0,12,"1","1","1","3","6",4,3,16092,"0"
"1956","Master","Together",34941,"1","1","26",39,2,25,4,3,24,"2","3","0","3","8",4,5,15859,"0"
"1991","2n Cycle","Together",20193,"0","0","18",8,8,22,24,11,9,"1","1","1","4","4",1,5,15672,"0"
"1978","PhD","Single",31626,"1","0","12",39,1,9,2,1,34,"1","2","1","2","7",5,4,15983,"1"
"1960","Graduation","Married",31454,"1","1","40",28,0,11,0,0,9,"3","2","0","3","8",3,3,15863,"0"
"1957","Master","Together",66636,"0","0","64",291,10,689,84,10,0,"1","3","4","9","1",4,5,15934,"0"
"1986","PhD","Single",47022.6116671627,"0","0","15",569.511902703438,13.8706744590309,33.6138417311013,15.9344280525111,0.677595324581489,14.4553669244051,"3","11","1","8","10",4.77413489180617,5.54826978361234,15672.0346043278,"1"
"1974","Master","Together",21255,"1","0","56",29,0,25,2,2,3,"4","2","1","4","4",4,5,16091,"0"
"1978","2n Cycle","Married",25804,"1","0","34",8,7,9,13,6,12,"2","2","0","3","8",1,3,15714,"0"
"1974","Graduation","Married",26067,"1","0","49",22,2,18,0,2,12,"3","3","0","3","8",3,3,15806,"0"
"1976","Graduation","Married",56939,"0","1","19",256,34,103,90,29,49,"2","3","3","10","3",3,3,15966,"0"
"1950","Graduation","Divorced",82460,"0","0","78",255,47,573,52,32,15,"1","5","3","6","1",3,2,15748,"0"
"1960","Graduation","Together",63381,"0","1","78",571,50,142,33,50,159,"4","4","5","13","2",3,5,15470,"0"
"1978","Graduation","Divorced",55563,"0","1","22",29,1,9,2,0,2,"1","2","0","3","3",3,2,16194,"0"
"1978","2n Cycle","Single",36975,"1","0","50",10,6,11,0,4,2,"1","1","0","3","7",1,4,16067,"0"
"1971","Graduation","Married",70886,"1","0","65",407,70,239,103,88,53,"1","5","4","4","2",3,3,15992,"0"
"1986","Graduation","Divorced",41411,"0","0","11",37,32,38,11,3,18,"1","2","1","4","6",3,2,15898,"0"
"1970","PhD","Together",65968,"0","1","12",376,9,83,19,4,4,"2","5","4","7","3",5,5,16409,"0"
"1973","Master","Single",53225.9278750834,"1","0","73",324.559632662684,22.5309798885137,219.572455233661,5.55079943058081,9.48817476374097,93.0779483886436,"1","5","2","6","8",4.79297134722583,4.20702865277417,16122.9418711534,"1"
"1980","Basic","Married",25965,"0","0","29",2,2,11,41,7,11,"1","2","0","3","8",2,3,15530,"0"
"1981","Graduation","Married",26872,"0","0","0",3,10,8,3,16,32,"1","1","1","2","6",3,3,15994,"0"
"1951","PhD","Single",64950,"0","1","29",819,0,72,12,0,63,"2","11","2","10","7",5,4,15682,"0"
"1981","Graduation","Married",19419,"1","0","76",2,14,28,16,3,7,"4","4","0","3","9",3,3,15624,"0"
"1953","PhD","Single",64108,"0","1","8",948,10,86,13,21,21,"4","6","9","11","5",5,4,15787,"0"
"1947","Graduation","Single",77457,"0","0","85",675,11,400,15,45,11,"1","2","5","10","1",3,4,16193,"0"
"1979","Master","Married",40662,"1","0","0",40,2,23,0,4,23,"2","2","1","3","4",4,3,15779,"0"
"1969","PhD","Together",42828.8475772375,"1","1","3",32.1082249991596,8.94016696419567,33.9634816059843,10.2683673212305,17.810822499916,11.4826221428812,"2","4","2","3","4",4.12934446427971,4.87065553572029,15739.8284166055,"1"
"1952","Master","Married",35575.6429512547,"1","0","19",138.570716223214,1.54789077909663,57.6627779833507,5.26054610451683,3.13027305225842,22.7126553254202,"5","4","1","2","8",3.77394538954832,4.54789077909663,15671.2831182207,"1"
"1962","PhD","Married",78682.6739769729,"1","1","54",1213.2165535544,0.255977608496323,340.91091566626,42.4163134810515,83.4538184825797,19.0478208679706,"7","6","3","10","8",4.82934826100245,2.91467413050123,15785.2967613111,"1"
"1963","PhD","Together",33629,"1","1","49",132,0,16,0,0,4,"5","3","1","4","9",5,5,15560,"0"
"1972","Master","Together",49854,"1","0","63",123,17,171,39,0,30,"5","6","2","5","6",4,5,15989,"0"
"1989","Graduation","Single",30279,"1","0","13",10,4,14,4,4,1,"1","1","0","3","8",3,4,15704,"0"
"1972","Graduation","Divorced",59700.8743325975,"0","1","53",846.86633923091,61.6869638571516,247.075784530258,46.827599167591,37.9060231703334,63.5152228928637,"4","8","4","4","8",3.85936468956061,2.28127062087879,15606.3590347555,"1"
"1951","Graduation","Single",80872,"0","0","60",483,72,567,94,12,108,"1","4","4","10","1",3,4,16409,"0"
"1958","Master","Single",30523,"2","1","0",5,0,3,0,0,5,"1","1","0","2","7",4,4,15712,"0"
"1969","Master","Married",38256.179714669,"0","1","11",190.400681743864,6.45286789024249,33.5713446219452,2.34649741463363,2.17324870731682,67.7293135975488,"3","7","3","2","7",4.41337564634159,4.17324870731682,16075.021626683,"1"
"1975","Graduation","Single",56243,"1","2","26",347,0,35,4,3,7,"6","4","2","8","5",3,4,16069,"0"
"1957","Graduation","Together",42213,"0","1","96",309,3,24,4,3,20,"2","5","1","7","7",3,5,16049,"0"
"1958","PhD","Together",77863,"0","0","20",881,38,319,16,25,12,"1","4","5","10","2",5,5,16036,"0"
"1979","Master","Married",45057,"1","0","80",37,0,7,3,0,3,"1","2","0","3","5",4,3,15717,"0"
"1987","PhD","Single",40532.914981131,"1","1","52",49.6099380676169,16.1431088962127,64.546033981489,28.5012187855318,24.1590849177446,14.2837802213617,"2","3","1","11","7",4.05835364642553,4.94164635357447,15594.8082877416,"1"
"1979","Basic","Single",16014,"1","1","42",3,9,4,7,8,7,"4","1","1","4","3",2,4,15781,"0"
"1971","Graduation","Together",38232,"1","1","84",43,5,28,7,6,33,"4","3","1","3","5",3,5,16087,"0"
"1955","Graduation","Together",38946,"0","1","84",116,6,82,6,6,41,"2","3","1","6","5",3,5,16002,"0"
"1995","Graduation","Single",34824,"0","0","65",4,2,11,2,0,4,"1","1","0","2","6",3,4,16155,"0"
"1957","Graduation","Widow",66033,"0","1","76",293,35,179,46,59,65,"2","8","3","7","7",3,6,15725,"0"
"1980","2n Cycle","Single",67506,"0","1","73",90,38,67,33,36,67,"1","4","1","6","3",1,4,16102,"0"
"1961","PhD","Married",57072,"0","1","79",944,0,60,0,0,30,"2","7","5","13","5",5,3,16094,"0"
"1987","Basic","Single",15038,"1","0","93",4,8,11,19,12,26,"2","2","1","2","9",2,4,15734,"0"
"1956","Master","Single",55284,"0","1","60",547,7,140,0,7,63,"3","7","5","8","5",4,4,15698,"0"
"1975","PhD","Married",80427,"0","1","56",1149,71,449,69,71,26,"1","11","8","8","5",5,3,15683,"0"
"1971","PhD","Together",29732,"1","0","23",25,0,8,0,1,4,"1","2","0","2","9",5,5,16154,"0"
"1986","PhD","Married",25252.6673054262,"0","0","15",150.151641492033,10.0757023647893,59.0208067437634,1.84859527042136,2.77289290563203,60.8962030436378,"4","5","3","5","5",4.07570236478932,3.92429763521068,15707.9206537113,"1"
"1984","PhD","Single",42710,"1","0","38",252,3,42,4,3,102,"2","4","5","3","6",5,4,15672,"0"
"1992","Master","Together",42670,"0","0","12",154,2,46,20,4,15,"1","4","2","4","4",4,5,15822,"0"
"1973","Graduation","Single",34853,"1","1","75",9,3,15,2,3,2,"2","2","0","3","6",3,4,16062,"0"
"1991","Graduation","Single",85312.3698656894,"0","0","40",481.130009812769,43.1042620746884,123.601774945855,28.4101238052826,19.5849019370507,21.978152733529,"1","6","7","11","3",3.04369453294203,3.97815273352899,15734.6186479547,"1"
"1958","2n Cycle","Single",75342,"0","1","38",204,97,97,21,118,26,"1","5","2","10","4",1,4,15861,"0"
"1981","Graduation","Divorced",28510,"1","1","72",44,5,19,0,4,19,"3","2","0","4","5",3,2,15808,"0"
"1976","PhD","Divorced",70179,"0","1","10",532,88,168,69,44,133,"3","7","3","13","5",5,2,15907,"0"
"1952","PhD","Together",61010,"0","1","57",888,0,57,0,0,76,"2","8","5","11","5",5,5,15593,"0"
"1975","Master","Single",31160,"1","0","59",16,3,25,6,1,13,"2","2","0","3","8",4,4,15964,"0"
"1955","Graduation","Together",82169.7065866522,"0","1","98",842.468031647615,14.3439346125815,562.924248090014,18.9273664059583,27.9795851218514,41.9693776827771,"5","4","1","8","2",4.6458579483442,2.5312130774837,15810.7004397053,"1"
"1969","PhD","Together",42731,"1","0","64",159,2,51,6,2,24,"3","4","1","5","5",5,5,15999,"0"
"1952","Graduation","Widow",40049,"0","1","23",13,6,7,0,3,3,"1","1","0","3","6",3,6,15994,"0"
"1957","Graduation","Together",50116,"1","1","68",54,0,10,0,0,2,"2","1","0","4","5",3,5,16241,"0"
"1983","Graduation","Single",39062,"1","0","28",23,0,9,0,0,12,"1","1","0","3","4",3,4,16154,"0"
"1951","Graduation","Married",57304,"0","1","61",356,80,329,138,17,106,"2","7","6","10","5",3,3,16012,"0"
"1967","Master","Single",49806.476626819,"1","1","86",127.554456571117,47.0363043807447,219.176900755614,11.4231024924666,4.03168323263526,66.5735978474841,"4","7","5","2","6",3.6640263972804,3.32805279456079,15661.7207935425,"1"
"1969","Master","Divorced",52189.2156905837,"0","0","2",265.755507998168,26.2966416990384,164.809967898764,22.4049839493819,13.5672085494734,17.8916577496566,"3","6","3","8","7",4.22972192498855,2.45944384997711,15866.6784385541,"1"
"1954","Graduation","Together",32144,"1","1","76",41,0,10,0,0,3,"4","2","1","3","7",3,5,16152,"0"
"1978","PhD","Married",82170,"0","0","13",1023,93,651,49,55,37,"1","5","6","7","2",5,3,16034,"0"
"1976","2n Cycle","Together",36301,"1","0","53",11,12,35,3,5,12,"1","3","0","3","7",1,5,16003,"0"
"1973","Master","Divorced",52034,"1","1","67",146,0,93,7,13,73,"5","4","2","5","7",4,2,15842,"0"
"1959","PhD","Married",36732,"1","1","71",21,5,3,10,1,7,"3","1","1","4","2",5,3,16068,"0"
"1968","Graduation","Single",35893,"1","1","80",158,0,23,0,0,18,"6","3","1","5","8",3,4,15628,"0"
"1977","2n Cycle","Together",25315,"1","0","46",1,9,8,11,3,22,"3","3","0","3","8",1,5,15897,"0"
"1970","Graduation","Married",13260,"1","1","48",9,4,17,10,2,7,"4","3","0","3","8",3,3,15940,"0"
"1970","Graduation","Single",20587,"1","0","39",2,3,6,4,1,9,"1","1","1","2","7",3,4,16379,"0"
"1985","Graduation","Married",19986,"1","0","74",3,6,5,0,2,6,"1","0","0","3","7",3,3,16023,"0"
"1953","Graduation","Married",48686,"1","2","8",10,0,7,2,0,1,"1","1","0","2","8",3,3,15807,"0"
"1977","Graduation","Single",35790,"1","0","54",12,6,20,30,1,3,"2","2","0","3","7",3,4,15737,"0"
"1954","2n Cycle","Single",42607,"0","1","30",156,29,56,30,32,47,"2","3","2","7","3",1,4,16026,"0"
"1964","Master","Married",64100,"0","1","93",509,0,27,0,0,10,"1","8","3","6","7",4,3,15987,"0"
"1976","Graduation","Married",61064,"0","1","80",387,126,342,0,45,180,"5","8","4","11","6",3,3,15583,"0"
"1971","PhD","Together",32892,"1","0","78",26,0,15,2,1,2,"2","3","0","3","8",5,5,16215,"0"
"1962","PhD","Single",27238,"1","1","39",37,0,17,0,0,3,"3","3","0","3","9",5,4,15815,"0"
"1959","Graduation","Divorced",52332,"0","0","63",212,5,33,7,0,2,"1","3","2","6","4",3,2,15945,"0"
"1952","Graduation","Together",43462,"1","1","50",90,17,97,15,6,15,"6","4","1","5","8",3,5,15683,"0"
"1955","PhD","Together",54741.5131030546,"0","1","28",350.837516810279,16.5332061909139,166.210146947764,19.6803833835293,11.5054549011402,11.5054549011402,"5","8","4","6","8",3.60555025795475,4.69722487102263,15746.4574194972,"1"
"1954","PhD","Single",74637,"0","0","73",960,64,464,146,0,16,"1","6","9","9","3",5,4,15843,"0"
"1988","2n Cycle","Married",16248,"1","0","77",12,11,10,3,12,9,"3","2","1","3","6",1,3,16348,"0"
"1988","Graduation","Married",68487,"0","0","48",758,12,385,33,89,89,"1","9","7","13","4",3,3,15718,"0"
"1962","PhD","Married",54693,"0","1","72",686,17,142,23,26,35,"8","6","4","13","6",5,3,15753,"0"
"1973","2n Cycle","Married",51381.5,"1","0","25",25,3,43,17,4,17,"3","3","0","3","8",1,3,15597,"0"
"1952","Graduation","Married",35704,"1","1","54",30,9,12,2,11,30,"3","2","0","4","4",3,3,16130,"0"
"1971","PhD","Married",50522.7638956546,"0","0","98",457.376370599028,0.0106351270806044,23.9361892375164,5.9893648729194,0.0212702541612089,4.03899546596222,"1","4","5","2","6",4.9929099152796,2.0035450423602,15441.4392871982,"1"
"1974","Master","Married",58494,"0","1","56",298,7,68,4,0,19,"2","6","2","6","6",4,3,16051,"0"
"1971","Graduation","Divorced",55635,"0","1","34",235,65,164,50,49,27,"4","7","3","7","6",3,2,15657,"0"
"1969","Master","Together",41021,"1","0","12",14,7,9,6,16,12,"2","2","0","3","6",4,5,15704,"1"
"1962","Graduation","Divorced",37859,"1","2","75",22,1,8,2,1,2,"2","1","0","3","8",3,2,16040,"0"
"1968","Graduation","Single",24961.2108259248,"1","0","73",85.1099373293109,19.687131959945,64.0452153966762,13.7568429717794,10.1020719781518,30.4651444940828,"4","6","3","2","8",3.37925299908966,3.18962649954483,16000.8074972285,"1"
"1957","Master","Married",75546.1590490406,"0","0","61",726.14982526144,32.3147980505601,517.535376688,67.01200802112,14.52022916032,90.9924262361601,"1","3","6","6","6",3.88305929536,3.88305929536,15748.7919793888,"1"
"1975","PhD","Widow",22106.7149091056,"1","1","12",132.40759409871,3.46607140824199,23.3415181366727,2.59955355618149,8.66517852060497,49.2214293032885,"3","3","5","10","8",4.1334821479395,5.1334821479395,15935.3647309383,"1"
"1965","Graduation","Together",36317,"0","1","53",87,3,25,3,2,13,"2","3","0","4","7",3,5,15847,"0"
"1977","Graduation","Single",38472.137407823,"1","1","27",322.74873811705,9.17846261151135,62.8808000809513,0,8.46461216546595,25.4107686942443,"3","2","2","8","5",3.58923130575567,3.70538434712216,15878.4876381187,"1"
"1964","Master","Single",58308,"0","1","77",691,0,69,10,0,130,"4","2","6","3","8",4,4,16040,"0"
"1960","PhD","Married",65695,"0","1","50",371,32,189,0,58,6,"2","5","4","10","4",5,3,16101,"0"
"1989","Master","Divorced",10979,"0","0","34",8,4,10,2,2,4,"2","3","0","3","5",4,2,16212,"0"
"1980","Graduation","Married",77353,"0","1","38",275,59,107,69,101,59,"2","6","4","8","4",3,3,16055,"0"
"1982","Graduation","Together",45782.9601412951,"1","1","12",338.32191642141,31.0989212184213,189.816522513516,24.5665436680429,5.7158268308267,32.6528744003735,"1","3","6","11","8",3.27158268308267,4.72841731691733,15732.0719375759,"1"
"1984","Graduation","Married",31761,"1","0","96",19,1,20,16,14,28,"2","3","0","4","5",3,3,16194,"0"
"1974","PhD","Married",49527.9732546355,"0","1","2",336.088951046579,0,171.729774791049,21.3869676778559,11.242433786625,42.5781355649233,"4","3","2","8","7",3.73193326359615,3.73193326359615,15994.5129739542,"1"
"1962","Graduation","Divorced",46102,"2","1","3",14,0,1,0,0,1,"1","1","0","2","7",3,2,16346,"0"
"1971","Graduation","Single",55239,"0","1","59",371,17,238,23,24,106,"3","7","5","11","5",3,4,15900,"0"
"1955","Graduation","Widow",58275,"1","1","48",189,10,253,56,43,64,"6","8","2","7","7",3,6,15742,"0"
"1969","PhD","Married",55212,"0","1","65",1103,0,45,0,0,34,"3","4","2","11","8",5,3,15667,"0"
"1963","PhD","Widow",52278,"0","1","24",953,0,71,0,0,174,"6","10","5","10","8",5,6,15730,"1"
"1988","Graduation","Together",29604,"1","0","88",7,6,13,7,6,14,"1","1","0","3","9",3,5,15929,"0"
"1982","Graduation","Widow",58941.0149011686,"1","0","36",148.548042199807,16.0151712209918,183.530992734712,22.5126426841598,6.46712902118452,37.0050570736639,"3","7","1","9","7",4.00505707366392,5.00505707366392,15591.1567692836,"1"
"1970","PhD","Together",64413,"0","1","27",200,5,44,0,10,20,"1","5","1","5","5",5,5,15713,"0"
"1963","PhD","Divorced",48799,"0","1","9",174,18,81,28,6,24,"3","3","2","7","3",5,2,15836,"0"
"1954","Master","Together",51381.5,"0","1","83",161,0,22,0,0,24,"2","4","1","4","6",4,5,15879,"0"
"1979","Graduation","Together",21645,"1","0","75",14,0,23,4,5,19,"3","3","0","3","9",3,5,15408,"1"
"1963","PhD","Single",36736,"1","1","52",10,0,3,0,0,4,"1","1","0","2","6",5,4,15983,"0"
"1972","PhD","Married",70116,"0","0","73",707,44,603,95,58,29,"1","2","8","12","1",5,3,15731,"0"
"1971","Master","Divorced",51983.3385799611,"1","1","9",938.86559643317,0.195818729931489,60,0.783274919725955,1.17491237958893,22.4334501605481,"2","9","1","2","7",4.80418127006851,2.39163745986298,15739.4696796646,"1"
"1985","Graduation","Married",36482.3343651353,"0","0","53",199.102749285055,5.19687440060079,38.3847674981225,16.5816418987233,0.123046500375494,87.5726605956443,"3","2","1","4","8",3,3.9753906999249,15574.1546596279,"1"
"1972","Graduation","Married",38988,"1","2","90",164,24,103,12,3,42,"7","5","1","6","8",3,3,15572,"0"
"1955","Graduation","Single",80317,"0","0","64",536,11,387,149,91,57,"1","3","4","10","1",3,4,15937,"0"
"1965","PhD","Married",69969,"0","0","64",882,29,514,38,29,44,"1","4","2","6","3",5,3,15944,"1"
"1967","PhD","Divorced",26642,"1","0","71",13,2,15,2,2,8,"2","2","0","3","6",5,2,16073,"0"
"1961","PhD","Married",51381.5,"0","1","23",352,0,27,10,0,15,"3","6","1","7","6",5,3,16016,"0"
"1954","Graduation","Single",69365.5910609525,"0","0","55",873.725852217292,29.6392833718564,469.182567794574,115.431787260808,43.9665860836394,32.1713123817462,"3","4","1","4","2",3.28133655665442,3.85933172167279,16157.3483405504,"1"
"1945","PhD","Married",65846,"0","0","68",562,81,276,80,40,81,"1","6","3","6","4",5,3,15842,"0"
"1987","PhD","Single",45499.5909625608,"0","0","5",299.156473859213,49.826425405452,247.538169571199,61.5573406198528,54.5768567207269,38.0962002954911,"4","10","2","7","8",4.55768567207269,4.44231432792731,15780.4008667606,"1"
"1975","2n Cycle","Divorced",67893,"0","1","31",711,28,142,49,18,47,"2","3","2","9","8",1,2,15349,"0"
"1985","Graduation","Single",41382.6677198634,"1","1","49",228.097552767023,1.45057783648372,43.8023113459349,5.74711081758142,1.45057783648372,49.0089736096561,"2","5","2","5","7",4.45057783648372,3.72528891824186,15904.4621345662,"1"
"1956","Graduation","Divorced",26150,"2","1","61",5,1,13,3,5,1,"1","1","0","3","7",3,2,16012,"0"
"1949","PhD","Married",34562.8155006189,"1","1","35",152.588679458015,0.65348080615513,58.1091737046372,12.5348080615513,7.84176967386156,67.3275211139116,"3","7","2","3","8",3.69303838768974,4.03955758153461,15727.3292130455,"1"
"1982","Graduation","Together",64752.7071904575,"0","2","23",1018.91162821092,22.5361520955339,130.974418262718,10.0160675980151,0,84.8122619423084,"1","10","4","4","6",4.25200844975188,4.25200844975188,15904.9627916855,"1"
"1948","PhD","Together",76140,"0","0","57",586,66,653,17,0,26,"1","5","9","6","2",5,5,16203,"0"
"1976","Graduation","Married",17649,"1","0","70",15,1,23,0,5,1,"3","3","0","3","8",3,3,16050,"0"
"1969","Graduation","Together",38361,"1","0","74",39,0,56,20,8,14,"3","3","1","3","7",3,5,16066,"0"
"1978","Graduation","Together",22775,"1","0","40",5,1,8,0,0,1,"1","1","0","2","8",3,5,15875,"0"
"1981","Graduation","Single",58684,"0","0","71",479,35,179,28,7,85,"1","5","3","12","2",3,4,16237,"0"
"1971","Graduation","Single",22804,"1","0","75",14,1,7,2,1,1,"1","2","0","2","9",3,4,15917,"0"
"1972","Graduation","Married",80134,"1","0","40",1218,16,272,104,0,80,"2","5","3","6","6",3,3,15845,"1"
"1979","PhD","Married",31605,"1","0","15",74,0,42,2,1,6,"2","2","1","4","7",5,3,15666,"0"
"1976","PhD","Single",55639.7834392162,"0","1","31",466.925779584795,60.7350055286661,188.910191674717,11.3249723566696,53.3117582015693,107.60792849306,"2","7","4","9","7",4.96882417984307,3.01558791007847,15668.002373755,"1"
"1969","Graduation","Divorced",23910,"1","0","80",16,12,18,7,1,13,"1","2","0","3","7",3,2,15639,"0"
"1983","Graduation","Married",36790,"0","0","14",3,3,14,15,21,10,"1","2","1","2","9",3,3,15708,"1"
"1982","PhD","Together",70038,"0","0","54",587,54,348,71,54,130,"1","4","4","8","2",5,5,16003,"0"
"1976","Graduation","Married",39356,"1","1","21",15,0,2,0,0,6,"1","1","0","2","6",3,3,16148,"0"
"1962","Master","Single",59247,"0","2","87",327,9,122,19,14,83,"5","5","2","9","6",4,4,15928,"0"
"1972","PhD","Married",29791,"1","0","21",14,0,6,0,0,0,"2","2","0","3","5",5,3,16205,"0"
"1954","Master","Married",45736,"0","1","92",188,3,180,20,3,43,"5","7","1","6","7",4,3,15910,"0"
"1974","PhD","Single",68352,"0","1","47",614,16,132,43,33,33,"3","8","5","9","6",5,4,15945,"0"
"1969","Graduation","Single",30822,"1","0","92",3,9,13,2,12,12,"1","1","0","3","7",3,4,15870,"0"
"1985","Graduation","Married",44322,"1","0","30",46,0,40,3,0,3,"2","3","0","3","8",3,3,16237,"0"
"1960","Master","Single",98777,"0","0","23",1000,19,711,125,115,38,"0","4","6","9","1",4,4,16118,"0"
